id,category_id,sku,ean13,name_it,name_en,name_fr,name_es,description_it,description_en,description_fr,description_es,description_short_it,description_short_en,description_short_fr,description_short_es,slug,price,wholesale_price,weight,width,height,depth,stock_quantity,active,brand,meta_title,meta_description,meta_keywords,image_url,created_at,updated_at,search_vector
20,8,NULL,NULL,VENTILATORE TANGENZIALE BOCCA DA 24CM,TANGENTIAL FAN,VENTILATEUR TANGENTIEL,VENTILADOR TANGENCIAL,,,,,"EBMPAPST QLN65/2400A33-
3025LH-58 adn
230V 50HZ 33W I.CI.H

Bocca da 25 cm","EBMPAPST QLN65/2400A33-
3025LH-58 adn
230V 50HZ 33W I.CI.H","EBMPAPST QLN65/2400A33-
3025LH-58 adn
230V 50HZ 33W I.CI.H

Bouche: 25 cm","EBMPAPST QLN65/2400A33-
3025LH-58 adn
230V 50HZ 33W I.CI.H

Boca da 25 cm",ventilatore-tangenziale,99.06,17.44,,,,,0,true,,Ventilatore aria per stufe a pellet,Ventilatore tangenziale per stufe a pellet,,https://www.ricambixstufe.it/ricambixstufe/203-home_default/ventilatore-tangenziale.jpg,2026-03-27 11:34:24.346804+00,2026-03-27 11:34:24.346804+00,"'-58':10B '230v':12B '24cm':5A '25':19B '3025lh':9B '33w':14B '50hz':13B 'adn':11B 'bocc':3A,17B 'cm':20B 'ebmpapst':7B 'h':16B 'i.ci':15B 'null':6A 'qln65/2400a33-':8B 'tangenzial':2A 'ventil':1A"
22,8,NULL,NULL,VENTILATORE ARIA STUFE SLIM,AIR FAN -SLIM STOVES,VENTILATEUR AIR - POELES SLIM,VENTILADOR AIRE ESTUFAS SLIM,,,,,"EBMPAPST R2S175-AB56-01
220V 50hz 0,33A 53W 2350 G/Min
DIAMETRO VENTOLA 17,5 cm X 7 cm","EBMPAPST R2S175-AB56-01
220V 50hz 0,33A 53W 2350 RPM
FAN DIAMETER 17,5 cm X 7 cm","EBMPAPST R2S175-AB56-01
220V 50hz 0,33A 53W 2350 RPM
DIAMETRE DU VENTILATEUR 17,5 cm X 7 cm","EBMPAPST R2S175-AB56-01
220V 50hz 0,33A 53W 2350 G/Min
DIAMETRO VENTOLA 17,5 cm X 7 cm",ventilatore-aria-stufe-slim,135.42,35.64,,,,,0,true,,Ventilatore aria per stufe a pellet,Ventilatore aria centrifugo per stufe a pellet,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/ventilatori-aria/ventilatore-aria-stufe-slim.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:37.536382+00,"'0':13B '01':10B '17':20B '220v':11B '2350':16B '33a':14B '5':21B '50hz':12B '53w':15B '7':24B 'ab56':9B 'ari':2A 'cm':22B,25B 'diametr':18B 'ebmpapst':6B 'g/min':17B 'null':5A 'r2s175':8B 'r2s175-ab56':7B 'slim':4A 'stuf':3A 'ventil':1A 'ventol':19B 'x':23B"
23,9,NULL,NULL,"RESISTENZA ELETTRICA Ø12,5 mm LUNGH.130 mm","SPARK PLUG Ø12,5 mm LENGTH.130 mm","BOUGIE D'ALLUMAGE Ø12,5 mm LUNGH.130 mm","Resistencia Electrica Ø12,5 mm LONG.130 mm",,,,,"Diametro: 12.5x130 mm. (senza raccordo)
300W-230V
Lunghezza cavi: 700 mm

MARCA: ROTFIL","Diameter: 11x130 mm. (no connection)
300W-230V
Cable length: 700 mm","Diamètre: 11x130 mm. (sans raccord)
300W-230V
Longueur des câbles: 700 mm","Diametro: 11x130 mm. (sin uniòn)
300W-230V
Longitud cables: 700 mm

MARCA: ROTFIL",resistenza-elettrica,42.33,8.07,,,,,0,true,,Resistenza elettrica,Resistenza elettrica per accensione,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-130-mm.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:37.823685+00,"'12.5':10B '230v':17B '300w':16B '300w-230v':15B '5':4A '700':20B 'cav':19B 'diametr':9B 'elettr':2A 'lungh.130':6A 'lunghezz':18B 'marc':22B 'mm':5A,7A,12B,21B 'null':8A 'raccord':14B 'resistent':1A 'rotfil':23B 'senz':13B 'x130':11B 'ø12':3A"
24,9,NULL,NULL,"RESISTENZA ELETTRICA Ø 12,5 mm LUNGH.100 mm","SPARK PLUG Ø 12,5 mm LENGTH.100 mm","BOUGIE D'ALLUMAGE Ø 12,5 mm LUNGH.100 mm","Resistencia Elèctrica Ø 12,5 mm LONG.100 mm",,,,,"Diametro: 12.5 x100 mm. (senza raccordo)
300W-230V
Lunghezza cavi: 700 mm

MARCA:ROTFIL","Diameter: 12.5x100 mm. (no connection)
300W-230V
Cable length: 700 mm","Diamètre: 12.5x100 mm. (sans raccord)
300W-230V
Longueur des câbles: 700 mm","Diametro: 12.5x100 mm. (sin uniòn)
300W-230V
Longitud cables: 700 mm

MARCA: ROTFIL",resistenza-elettrica-2,41.48,7.80,,,,,0,true,,Resistenza elettrica,Resistenza elettrica per accensione,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm-lungh-100-mm.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:38.027718+00,"'12':4A '12.5':11B '230v':18B '300w':17B '300w-230v':16B '5':5A '700':21B 'cav':20B 'diametr':10B 'elettr':2A 'lungh.100':7A 'lunghezz':19B 'marc':23B 'mm':6A,8A,13B,22B 'null':9A 'raccord':15B 'resistent':1A 'rotfil':24B 'senz':14B 'x100':12B 'ø':3A"
25,9,HT65012,NULL,"RESISTENZA ELETTRICA Ø 9,9 mm x 140 mm ATTACCO A FILETTO 3/8","SPARK PLUG Ø 9,9 mm","BOUGIE D'ALLUMAGE Ø 9,9 mm","Resistencia Elèctrica Ø 9,9 mm",,,,,"Diametro: 9,9x140 mm. (sottobattuta raccordo)
250W-230V
Lunghezza cavi: 200 mm.
Con raccordo 3/8“ GAS

MARCA: HT","Diameter: 9,9x140 mm. (connection)
250W-230V
Cable length: 200 mm.
With 3/8 ""BSP connection.","Diamètre: 9,9x140 mm. (raccord)
250W-230V
Longueur des câbles: 200 mm.
Avec raccord 3/8 ""BSP","Diametro: 9,9x140 mm. (tuerca bajo batida)
250W-230V
Longitud cables: 200 mm.
Con tuerca 3/8“ GAS

MARCA:HT",resistenza-elettrica-3,42.70,7.18,,,,,0,true,,Resistenza elettrica,Resistenza elettrica per accensione,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-9-9-mm-x-140-mm-attacco-a-filetto-38.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:38.253867+00,"'140':8A '200':26B '230v':23B '250w':22B '250w-230v':21B '3/8':13A,30B '9':4A,5A,16B '9x140':17B 'attacc':10A 'cav':25B 'diametr':15B 'elettr':2A 'filett':12A 'gas':31B 'ht':33B 'ht65012':14A 'lunghezz':24B 'marc':32B 'mm':6A,9A,18B,27B 'raccord':20B,29B 'resistent':1A 'sottobatt':19B 'x':7A 'ø':3A"
26,9,HT62705,NULL,"RESISTENZA ELETTRICA Ø 12,5 mm","SPARK PLUG Ø 12,5 mm","BOUGIE D'ALLUMAGE Ø 12,5 mm","Resistencia Elèctrica Ø 12,5 mm",,,,,"Ø 12,5 - lung.150 mm. (con flangia)
350W-230V
Lunghezza cavi: 500 mm.
Palazzetti-Royal-Thermorossi Olimpia Splendid

MARCA: HT","Ø 12.5 - 150 mm. (with flange)
350W-230V
Cable Length: 500 mm.
Palazzetti-Royal-Thermorossi Olimpia Splendid","Ø 12,5 à 150 mm. (Avec bride)
350W-230V
Longueur des câbles: 500 mm.
Palazzetti-Royal-Thermorossi Olimpia Splendid","Ø 12,5 - long.150 mm. (con brida)
350W-230V
Longitud cables: 500 mm.
Palazzetti-Royal-Thermorossi Olimpia Splendid

MARCA:HT",resistenza-elettrica-3-26,51.78,10.50,,,,,0,true,,Resistenza elettrica,Resistenza elettrica per accensione,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/resistenze-accensione/resistenza-elettrica-12-5-mm.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:38.409837+00,"'12':4A,9B '230v':17B '350w':16B '350w-230v':15B '5':5A,10B '500':20B 'cav':19B 'elettr':2A 'flang':14B 'ht':29B 'ht62705':7A 'lung.150':11B 'lunghezz':18B 'marc':28B 'mm':6A,12B,21B 'olimp':26B 'palazzett':23B 'palazzetti-royal-thermoross':22B 'resistent':1A 'royal':24B 'splendid':27B 'thermoross':25B 'ø':3A,8B"
27,10,NULL,NULL,DISPLAY LCD A 6 TASTI MICRONOVA,6 BUTTONS MICRONOVA LCD DISPLAY,ECRAN LCD À 6 TOUCHES MICRONOVA,PANTALLA LED A 6 BOTONES MICRONOVA,,,,,"Dimensione incasso: 16,3 x 4,5 cm.
Non compatibile con le schede LED","Built size: 16.3 x 4.5 cm.
Not compatible with LED boards","16.3 x 4.5 cm.
Non compatible avec les cartes LED","Dimensiones ingreso: 16,3 x 4,5 cm.
No es compatible con la tarjetas LED",display-lcd-a-6-tasti-micronova,87.84,19.60,,,,,0,true,,Display Lcd a 6 tasti Micronova,Display Lcd a 6 tasti Micronova,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-lcd-a-6-tasti-micronova-2.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:38.564596+00,'16':10B '3':11B '4':13B '5':14B '6':4A 'cm':15B 'compat':17B 'dimension':8B 'display':1A 'incass':9B 'lcd':2A 'led':21B 'micronov':6A 'null':7A 'sched':20B 'tast':5A 'x':12B
28,10,NULL,NULL,DISPLAY LED A 6 TASTI MICRONOVA,6 BUTTONS MICRONOVA LED DISPLAY,ECRAN LED A 6 TOUCHES MICRONOVA,PANTALLA LED A 6 BOTONES MICRONOVA,,,,,"Dimensione incasso: 16,3 x 4,5 cm.
Non compatibile con le schede LCD","16.3 x 4.5 cm.
Not compatible with LCD boards","16.3 x 4.5 cm.
Non compatible avec les cartes LCD","Dimensiones ingreso: 16,3 x 4,5 cm.
No es compatible con las tarjetas LCD",display-lcd-a-6-tasti-micronova-2,70.03,14.49,,,,,0,true,,Display Lcd a 6 tasti Micronova,Display Lcd a 6 tasti Micronova,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-led-a-6-tasti-micronova-2.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:38.955253+00,'16':10B '3':11B '4':13B '5':14B '6':4A 'cm':15B 'compat':17B 'dimension':8B 'display':1A 'incass':9B 'lcd':21B 'led':2A 'micronov':6A 'null':7A 'sched':20B 'tast':5A 'x':12B
29,10,NULL,NULL,DISPLAY LED A 3 TASTI MICRONOVA,MICRONOVA 3 BUTTONS LED DISPLAY,ECRAN LED A 3 TOUCHES MICRONOVA,PANTALLA LED A 3 BOTONES MICRONOVA,,,,,Non compatibile con display a 6 tasti,Not compatible with a 6 button-display.,Pas compatible avec écrans à 3 touches.,No es compatible con pantallas a 6 botones,display-lcd-a-3-tasti-micronova,51.24,10.50,,,,,0,true,,Display Lcd a 3 tasti Micronova,Display Lcd a 3 tasti Micronova,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-led-a-3-tasti-micronova-2.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:39.402028+00,"'3':4A '6':13B 'compat':9B 'display':1A,11B 'led':2A 'micronov':6A 'null':7A 'tast':5A,14B"
30,10,NULL,NULL,DISPLAY LED A 3 TASTI DUEPI,DUEPI LED DISPLAY  6 BUTTONS,ECRAN LED A 3 TOUCHES DUEPI,PANTALLA LED A 3 BOTONES DUEPI,,,,,Non compatibile con display a 6 tasti,not compatible with 6 button displays.,Non compatible avec écrans à 6 touches,No es compatible con pantallas a 6 botones,display-led-a-3-tasti-duepi,41.11,10.49,,,,,0,true,,Display Lcd a 3 tasti Duepi,Display Lcd a 3 tasti Duepi,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/display-duepi-3-tasti-led.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:39.634269+00,"'3':4A '6':13B 'compat':9B 'display':1A,11B 'duep':6A 'led':2A 'null':7A 'tast':5A,14B"
31,10,NULL,NULL,PANNELLO DI EMERGENZA TELECOMANDO RADIO MICRONOVA,MICRONOVA EMERGENCY PANEL FOR RADIO REMOTE CONTROL,PANNEAU D'URGENCE TELECOMMANDE RADIO MICRONOVA,PANEL DE EMERGENCIA CONTROL REMOTO RADIO MICRONOVA,,,,,"Pannello di emergenza micronova
Per telecomando radio",Micronova emergency panel for radio remote control.,Panneau d'urgence Micronova pour radio-commande.,"Panel de emergencia micronova
Para mando radio",pannello-di-emergenza-micronova,119.56,,,,,,0,true,,Pannello di emergenza micronova,Pannello di emergenza micronova per telecomando radio,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/pannello-di-emergenza-telecomando-radio-micronova.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:39.92823+00,"'emergent':3A,10B 'micronov':6A,11B 'null':7A 'pannell':1A,8B 'rad':5A,14B 'telecom':4A,13B"
32,10,NULL,NULL,CAVO FLAT DISPLAY 1200 mm,FLAT CABLE FOR DISPLAY 1200 mm,CABLE FLAT POUR ÈCRAN 1200 mm,CABLE FLAT  PARA EL DISPLAY 1200mm,,,,,Lunghezza 1200mm,Length 1200mm,Longueur 1200mm,Longitud 1200mm,cavo-flat-display,15.01,1.15,,,,,0,true,,Cavo Flat Display,Cavo Flat Display,,https://pub-e5b1a861541243efa43922161ac876d7.r2.dev/products/display-cavi-telecomandi/cavo-flat-display-1200-mm.jpg,2026-03-27 11:34:24.346804+00,2026-04-02 10:47:40.073746+00,'1200':4A '1200mm':8B 'cav':1A 'display':3A 'flat':2A 'lunghezz':7B 'mm':5A 'null':6A
